,update,x01,x01a,x01b,x01c,x01d,x02,x02z01,x02z02,x02z03,x02z04,x06,x08,a01,a02,a03,a04,a05z01,a05z02,a06,a07,a08,a09,b01,b02a,b02b,b03,b04a,b04b,b04c,b04d,b04e,b04f,b05a,b05b,b05c,b05d,b05e,b05f,b06a,b06b,b06c,b06d,b06e,b07a,b07b,b07c,b08a,b08b01,b08b02,b09,b10,b11,b12a,b12b01,b12b02,b13a,b13b,b13c,b14a,b14b,b14c,b14d,b14e,b14f,b14g,b14h,c01,c02,c03a01,c03a02,c03b,c04,c05z01,c05z02,c06a01,c06a02,c06a03,c06a04,c06a05,c06a06,c06b,c07,c08z01,c08z02,c08z03,c09,c10,c11,c12z01,c12z02,c12z03,c12z04,c12z05,c12z06,c13z01,c13z02,c13z03,c14z01,c14z02,c14z03,c15,c16z01,c16z02,c17,c18z01,c18z02,c18z03,c18z04,c18z05,c18z06,c18z07,c18z08,c18z09,c19,c20,c21a01,c21a02,c21b,c22,c23,d01,d02,d03z01,d03z02,d03z03,d03z04,d04z01,d04z02,d04z03,d04z04,d04z05,d04z06,d04z07,d04z08,d04z09,d04z10,d04z11,e01a,e01b,e02a,e02b,e02c,e02d,e02e01,e02e02,e03,f01,f02,f03,f04,f05,f06,g01,g02,g03a,g03b,g03c,g04a,g04b,g04c,g04d,g04e,g05a01,g05a02,g05a03,g05a04,g05a05,g05b01,g05b02,g05b03,g05b04,g05b05,g06z01,g06z02,g06z03,g06z04,g06z05,g06z06,g07,g08,g09,h01,h01a,h02,h02a,h03,h04,h05z01,h05z02,h05z03,h05z04
0,200901,10020,主樣本,1953-1964出生之主樣本,正式訪問,1002,2000,2,10,9,0,247台北縣蘆洲,02 配偶,1 男,51,11 三專,2 好,03 已婚,75,54,2 本省閩南人,08 高職,1 很好,57,3 國語,10 很流利,01 繼續升學,60,02 國中,1 公立,1 有,63,01 繼續升學,63,01 高中(普通科),1 公立,1 有,66,02 準備重考,73,2 三專,1 公立,2 沒有,75,0跳答或不適用,0 不適用,0 跳答或不適用,1 有,71,73,73,75,76,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,2 沒有,2 沒有,2 沒有,1 有,86,061批發業,02 家人的資助,2,2 已經結束了,0 跳答或不適用,87,1 有,0 不適用,061批發業,"4210銷售監督人員(含銷售經理,百貨公司經理)",03 為私人雇主或私人機構工作,03 10-29人,1 台灣,242台北縣新莊,1 有,35000,1 有,5000,2 無,跳答或不適用,40000.0,55,2 未滿1年,0 跳答或不適用,8,1 是,15,2 否,1 有,2 無,2 無,2 無,2 無,2 無,1 有,2 沒有,2 沒有,2 沒有,2 沒有,1 有,2,2 沒有,0 跳答或不適用,0跳答,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,1 有,0 不適用,064餐旅業 ,"5101未詳列之餐旅業自營業主(含速食店經營者,咖啡廳經營者)",97 其他 ,30000.0,60,2 沒有,0 跳答或不適用,2 無,2 無,2 無,2 無,1,0,0,2,1,0,0,0,0,0,0,10,3,34000.0,10000,0 跳答或不適用,8000,1 教育費用,80000.0,0 跳答或不適用,3,2 沒有,0 不適用,2 沒有,0 不適用,1 有,2 二至三小時,3 看電視,3,5 感情非常好,4,1 從未,2 偶爾,2 偶爾,1 從未,1 從未,1 有,2 無,2 無,2 無,2 無,1 有,2 無,2 無,2 無,2 無,2 無,1 有,2 無,2 無,2 無,2 無,2 偶爾,2 些許影響,4 沒有多少休閒時間,2 有,"3 先取出部份自己留用,其餘全部做為全家共用",2 有,4 全部為家用(包括家庭所有消費､儲蓄､投資等用途),1 主要由妻子來管 ,1 主要由妻子來管,2,10,9,25
1,200901,10040,主樣本,1953-1964出生之主樣本,正式訪問,1004,2000,1,30,15,0,813高雄市左營區,01 本人,2 女,47,08 高職,1 很好,03 已婚,71,45,4 外省人,13 大學,4 不好,54,1 閩南語,0 完全不懂,01 繼續升學,60,02 國中,1 公立,1 有,63,01 繼續升學,63,04 高職職業類科 ,2 私立,1 有,66,04 就業,0 跳答或不適用,0 跳答或不適用,0 不適用,0 不適用,0 跳答或不適用,0跳答或不適用,0 不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,66,71,72,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,2 沒有,2 沒有,2 沒有,2 沒有,0 跳答或不適用,0不適用,0 跳答或不適用,跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,1 有,0 不適用,036電力及電子機械器材製造修配業,9499品質檢查員,03 為私人雇主或私人機構工作,07 500人以上,1 台灣,811高雄市楠梓區 ,2 無,0 跳答或不適用,1 有,27000,2 無,跳答或不適用,27000.0,35,3 已滿1年,3,10,2 否,30,2 否,1 有,2 無,2 無,1 有,2 無,1 有,1 有,2 沒有,2 沒有,1 有,2 沒有,2 沒有,1,2 沒有,0 跳答或不適用,0跳答,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,2 沒有,06 因身體狀況不佳無法工作,0不適用,0跳答,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,2 沒有,0 跳答或不適用,2 無,2 無,2 無,2 無,1,0,0,1,1,0,0,0,0,0,0,14,3,0 跳答或不適用,2000,0 跳答或不適用,15000,1 教育費用,21000.0,0 跳答或不適用,2,2 沒有,0 不適用,2 沒有,0 不適用,2 沒有,2 二至三小時,3 看電視,3,4,4,3 經常,3 經常,3 經常,1 從未,3 經常,1 有,2 無,2 無,2 無,2 無,2 無,1 有,2 無,2 無,2 無,2 無,1 有,2 無,2 無,2 無,2 無,3 經常,4 非常有影響,4 沒有多少休閒時間,2 有,4 全部為家用(包括家庭所有消費､儲蓄､投資等用途),2 有,"1 全部自己留用,不必負擔家用",1 主要由妻子來管 ,4 各賺各的，各管各的,1,30,15,30
2,200901,10050,主樣本,1953-1964出生之主樣本,正式訪問,1005,2000,1,28,14,25,813高雄市左營區,03 親子關係,2 女,51,08 高職,1 很好,05 離婚,84,0 跳答或不適用,0 跳答或不適用,0 不適用,0 跳答或不適用,57,3 國語,10 很流利,01 繼續升學,63,02 國中,1 公立,1 有,66,01 繼續升學,66,04 高職職業類科 ,2 私立,1 有,69,04 就業,0 跳答或不適用,0 跳答或不適用,0 不適用,0 不適用,0 跳答或不適用,0跳答或不適用,0 不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,69,73,74,76,01 自己(與配偶)的儲蓄,05 銀行貸款,2 沒有,2 沒有,2 沒有,1 有,73,061批發業,02 家人的資助,6,2 已經結束了,0 跳答或不適用,77,1 有,0 不適用,062零售業,4310專技銷售及諮詢服務人員,03 為私人雇主或私人機構工作,07 500人以上,1 台灣,802高雄市苓雅區,2 無,0 跳答或不適用,1 有,40000,2 無,跳答或不適用,40000.0,45,2 未滿1年,0 跳答或不適用,3,1 是,60,1 是,2 無,2 無,2 無,2 無,2 無,2 無,2 沒有,2 沒有,2 沒有,2 沒有,2 沒有,1 有,2,2 沒有,0 跳答或不適用,0跳答,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 不適用,0不適用,0跳答,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,1 有,03 為了子女就學,2 無,2 無,2 無,1 有,0,0,0,0,1,0,0,2,0,3,0,10,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,20000,1 教育費用,108000.0,50000,2,2 沒有,0 不適用,3 不確定,0 不適用,2 沒有,2 二至三小時,2 聊天,0 不適用,5 感情非常好,5 感情非常好,0 不適用,0 不適用,0 不適用,0 不適用,0 不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 不適用,0 不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 不適用,0 跳答或不適用,1,28,14,50
3,200901,10060,主樣本,1953-1964出生之主樣本,正式訪問,1006,2000,1,27,19,55,813高雄市左營區,01 本人,1 男,45,04 初(國)中,1 很好,03 已婚,68,50,3 本省客家人,04 初(國)中,1 很好,51,2 客家話,10 很流利,01 繼續升學,57,02 國中,1 公立,1 有,60,97 其他,0 跳答或不適用,0 跳答或不適用,0 不適用,0 不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 不適用,0 不適用,0 跳答或不適用,0跳答或不適用,0 不適用,0 跳答或不適用,1 有,60,82,60,68,69,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,1 有,2 沒有,2 沒有,2 沒有,0 跳答或不適用,0不適用,0 跳答或不適用,跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,1 有,0 不適用,062零售業,"3930文書佐理員(含人事,專門性,公家單位佐理,法務佐理)",06 為政府機構工作,03 10-29人,1 台灣,813高雄市左營區,1 有,30000,2 無,0 跳答或不適用,2 無,跳答或不適用,30000.0,44,2 未滿1年,0 跳答或不適用,5,1 是,5,1 是,1 有,2 無,2 無,1 有,1 有,1 有,2 沒有,2 沒有,2 沒有,2 沒有,2 沒有,2 沒有,2,2 沒有,0 跳答或不適用,0跳答,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,2 沒有,05 料理家務,0不適用,0跳答,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,2 沒有,0 跳答或不適用,2 無,2 無,2 無,2 無,1,0,0,0,3,0,0,0,0,0,0,25,35,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,15000,1 教育費用,100000.0,150000,3,2 沒有,0 不適用,2 沒有,0 不適用,2 沒有,3 三小時以上,3 看電視,5 感情非常好,5 感情非常好,0 不適用,1 從未,1 從未,1 從未,1 從未,1 從未,1 有,2 無,2 無,2 無,2 無,1 有,2 無,2 無,2 無,2 無,2 無,2 無,1 有,2 無,2 無,2 無,1 從未,4 非常有影響,1 聊天,2 有,4 全部為家用(包括家庭所有消費､儲蓄､投資等用途),1 無,0 跳答或不適用,1 主要由妻子來管 ,1 主要由妻子來管,1,27,20,15
4,200901,10080,主樣本,1953-1964出生之主樣本,正式訪問,1008,2000,2,14,17,30,814高雄縣仁　武,04 兄弟姐妹,1 男,51,08 高職,3 普通,03 已婚,87,0 跳答或不適用,0 跳答或不適用,0 不適用,3 普通,58,3 國語,10 很流利,01 繼續升學,64,02 國中,1 公立,1 有,67,01 繼續升學,67,08 軍事學校,1 公立,1 有,70,04 就業,0 跳答或不適用,0 跳答或不適用,0 不適用,0 不適用,0 跳答或不適用,0跳答或不適用,0 不適用,0 跳答或不適用,1 有,70,75,70,87,87,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,2 沒有,2 沒有,2 沒有,2 沒有,0 跳答或不適用,0不適用,0 跳答或不適用,跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,1 有,0 不適用,036電力及電子機械器材製造修配業,"4210銷售監督人員(含銷售經理,百貨公司經理)",03 為私人雇主或私人機構工作,07 500人以上,1 台灣,813高雄市左營區,1 有,9999998 拒答,2 無,0 跳答或不適用,2 無,跳答或不適用,9999998  拒答,44,3 已滿1年,2,3,6 不知道,60,2 否,1 有,2 無,2 無,2 無,2 無,1 有,6 不知道,6 不知道,6 不知道,2 沒有,2 沒有,1 有,1,2 沒有,0 跳答或不適用,0跳答,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,1 有,0 不適用,094大眾傳播事業,"1740製作人(含節目製作人,電影製作人,電視導演)",03 為私人雇主或私人機構工作,9999996 不知道,55,2 沒有,0 跳答或不適用,2 無,2 無,2 無,2 無,1,0,0,0,0,0,0,2,0,4,0,3,6,0 跳答或不適用,20000,0 跳答或不適用,10000,2 醫療費用,9999996 不知道,100000,0,0 不適用,0 不適用,1 有,3 都可以,2 沒有,0 不適用,0 不適用,4,0 不適用,0 不適用,1 從未,0 不適用,1 從未,2 偶爾,2 偶爾,1 有,1 有,1 有,2 無,2 無,1 有,1 有,1 有,2 無,2 無,1 有,2 無,1 有,2 無,2 無,2 無,0 不適用,0 不適用,1 聊天,2 有,4 全部為家用(包括家庭所有消費､儲蓄､投資等用途),2 有,4 全部為家用(包括家庭所有消費､儲蓄､投資等用途),2 主要由丈夫來管,4 各賺各的，各管各的,2,14,17,50
5,200901,10100,主樣本,1953-1964出生之主樣本,正式訪問,1010,2000,1,27,19,0,813高雄市左營區,02 配偶,2 女,43,04 初(國)中,1 很好,03 已婚,81,21,4 外省人,08 高職,1 很好,50,5 大陸家鄉話,10 很流利,01 繼續升學,57,02 國中,1 公立,1 有,60,04 就業,0 跳答或不適用,0 跳答或不適用,0 不適用,0 不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 不適用,0 不適用,0 跳答或不適用,0跳答或不適用,0 不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,60,70,71,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,2 沒有,2 沒有,2 沒有,2 沒有,0 跳答或不適用,0不適用,0 跳答或不適用,跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,2 沒有,05 料理家務,0不適用,0跳答,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0跳答不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,跳答或不適用,0 跳答或不適用,0 不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,2 沒有,0 跳答或不適用,0跳答,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,2 沒有,07 已退休,0不適用,0跳答,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,2 沒有,0 跳答或不適用,2 無,2 無,2 無,2 無,1,0,0,0,0,0,0,0,0,1,0,56,4,2000.0,0 跳答或不適用,0 跳答或不適用,15000,2 醫療費用,300.00001192092896,0 跳答或不適用,1,2 沒有,0 不適用,2 沒有,0 不適用,2 沒有,0 不適用,0 不適用,0 不適用,0 不適用,0 不適用,1 從未,0 不適用,1 從未,1 從未,1 從未,2 無,2 無,2 無,2 無,1 有,2 無,2 無,2 無,2 無,1 有,1 有,2 無,2 無,2 無,2 無,2 無,0 不適用,0 不適用,1 聊天,1 無,0 跳答或不適用,2 有,4 全部為家用(包括家庭所有消費､儲蓄､投資等用途),1 主要由妻子來管 ,1 主要由妻子來管,1,27,19,25
6,200901,10130,主樣本,1953-1964出生之主樣本,正式訪問,1013,2000,1,31,19,15,813高雄市左營區,02 配偶,1 男,44,13 大學,3 普通,03 已婚,71,49,4 外省人,08 高職,3 普通,51,1 閩南語,10 很流利,01 繼續升學,57,02 國中,1 公立,1 有,60,01 繼續升學,60,08 軍事學校,1 公立,1 有,68,04 就業,64,5 軍事學校,1 公立,1 有,68,0跳答或不適用,0 不適用,0 跳答或不適用,1 有,68,84,68,71,71,74,01 自己(與配偶)的儲蓄,0 跳答或不適用,2 沒有,2 沒有,2 沒有,2 沒有,0 跳答或不適用,0不適用,0 跳答或不適用,跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,1 有,0 不適用,042氣體燃料供應業,3920物料及生產規畫佐理員(含規劃佐理員),03 為私人雇主或私人機構工作,05 50-99人,1 台灣,811高雄市楠梓區 ,1 有,30000,2 無,0 跳答或不適用,2 無,跳答或不適用,30000.0,60,3 已滿1年,4,11,1 是,20,1 是,1 有,1 有,2 無,1 有,2 無,2 無,1 有,2 沒有,2 沒有,2 沒有,1 有,2 沒有,1,2 沒有,0 跳答或不適用,0跳答,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,1 有,0 不適用,096社會福利/人民團體及其他社會服務業,3221繕寫人員【台灣職業分類】,06 為政府機構工作,35000.0,44,1 有,04 對國內的居住環境不滿意,2 無,2 無,1 有,2 無,1,0,0,2,1,0,0,0,0,0,0,7,7,35000.0,0 跳答或不適用,0 跳答或不適用,30000,1 教育費用,100000.0,9999996 不知道,3,2 沒有,0 不適用,2 沒有,0 不適用,2 沒有,1 不到一小時,2 聊天,3,3,3,2 偶爾,2 偶爾,2 偶爾,2 偶爾,2 偶爾,1 有,2 無,2 無,2 無,2 無,2 無,1 有,2 無,2 無,2 無,2 無,1 有,2 無,2 無,2 無,2 無,2 偶爾,3 有影響,1 聊天,2 有,"3 先取出部份自己留用,其餘全部做為全家共用",2 有,"3 先取出部份自己留用,其餘全部做為全家共用",1 主要由妻子來管 ,2 主要由丈夫來管,1,31,19,35
7,200901,10200,主樣本,1953-1964出生之主樣本,正式訪問,1020,2000,1,30,13,0,813高雄市左營區,03 親子關係,1 男,49,10 二專,1 很好,05 離婚,78,0 跳答或不適用,0 跳答或不適用,0 不適用,0 跳答或不適用,55,3 國語,10 很流利,01 繼續升學,61,02 國中,1 公立,1 有,64,01 繼續升學,64,08 軍事學校,1 公立,1 有,66,04 就業,0 跳答或不適用,0 跳答或不適用,0 不適用,0 不適用,0 跳答或不適用,0跳答或不適用,0 不適用,0 跳答或不適用,1 有,66,74,66,76,77,85,01 自己(與配偶)的儲蓄,05 銀行貸款,1 有,1 有,2 沒有,2 沒有,0 跳答或不適用,0不適用,0 跳答或不適用,跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,1 有,0 不適用,090公共行政服務業 ,5820警察及偵查人員,06 為政府機構工作,04 30-49人,1 台灣,807高雄市三民區 ,1 有,48000,2 無,0 跳答或不適用,2 無,跳答或不適用,48000.0,72,3 已滿1年,14,3,1 是,30,1 是,1 有,1 有,2 無,1 有,1 有,1 有,2 沒有,1 有,2 沒有,1 有,1 有,1 有,1,2 沒有,0 跳答或不適用,0跳答,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 不適用,0不適用,0跳答,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,2 沒有,0 跳答或不適用,2 無,2 無,2 無,2 無,0,0,0,0,1,0,0,2,0,5,0,20,0 跳答或不適用,16000.0,0 跳答或不適用,0 跳答或不適用,10000,1 教育費用,5000.0,0 跳答或不適用,1,2 沒有,0 不適用,2 沒有,0 不適用,2 沒有,2 二至三小時,3 看電視,0 不適用,5 感情非常好,0 不適用,0 不適用,0 不適用,0 不適用,0 不適用,0 不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 不適用,0 不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 不適用,0 跳答或不適用,1,30,13,15
8,200901,10210,主樣本,1953-1964出生之主樣本,正式訪問,1021,2000,2,14,10,50,813高雄市左營區,01 本人,2 女,50,08 高職,1 很好,03 已婚,72,46,2 本省閩南人,09 五專,1 很好,56,1 閩南語,0 完全不懂,01 繼續升學,62,02 國中,1 公立,1 有,65,01 繼續升學,68,04 高職職業類科 ,1 公立,1 有,71,04 就業,0 跳答或不適用,0 跳答或不適用,0 不適用,0 不適用,0 跳答或不適用,0跳答或不適用,0 不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,68,72,72,80,01 自己(與配偶)的儲蓄,05 銀行貸款,2 沒有,2 沒有,2 沒有,1 有,73,061批發業,01 自己的儲蓄,3,1 是,3,0 跳答或不適用,1 有,0 不適用,061批發業,"4109小型商店業主,其它未詳列之商店經營者","01 自己一人工作,沒有雇用其他人",01 少於3人,1 台灣,813高雄市左營區,2 無,0 跳答或不適用,1 有,50000,2 無,跳答或不適用,50000.0,72,3 已滿1年,17,3,1 是,90,2 否,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,2 沒有,2 沒有,2 沒有,1,2 沒有,0 跳答或不適用,0跳答,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,1 有,0 不適用,061批發業,"4109小型商店業主,其它未詳列之商店經營者","02 自己當老闆,而且有雇用別人",50000.0,55,2 沒有,0 跳答或不適用,2 無,2 無,2 無,2 無,1,0,0,1,1,0,0,0,0,0,0,20,5,18000.0,100000,0 跳答或不適用,40000,1 教育費用,150000.0,9999996 不知道,2,2 沒有,0 不適用,2 沒有,0 不適用,1 有,3 三小時以上,2 聊天,4,5 感情非常好,5 感情非常好,2 偶爾,2 偶爾,3 經常,2 偶爾,2 偶爾,2 無,2 無,1 有,2 無,2 無,1 有,2 無,2 無,2 無,2 無,2 無,2 無,2 無,1 有,2 無,2 無,2 偶爾,3 有影響,4 沒有多少休閒時間,1 無,0 跳答或不適用,2 有,"3 先取出部份自己留用,其餘全部做為全家共用",1 主要由妻子來管 ,1 主要由妻子來管,2,14,11,30
9,200901,10240,主樣本,1953-1964出生之主樣本,正式訪問,1024,2000,1,30,10,25,813高雄市左營區,05 親戚,2 女,48,06 高中普通科,2 好,03 已婚,70,12,4 外省人,06 高中普通科,2 好,54,1 閩南語,0 完全不懂,01 繼續升學,57,02 國中,1 公立,1 有,60,01 繼續升學,60,01 高中(普通科),1 公立,1 有,63,04 就業,0 跳答或不適用,0 跳答或不適用,0 不適用,0 不適用,0 跳答或不適用,0跳答或不適用,0 不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,63,70,71,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,2 沒有,2 沒有,2 沒有,2 沒有,0 跳答或不適用,0不適用,0 跳答或不適用,跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,1 有,0 不適用,062零售業,"4520小販,兜攬生意人員,報販(含報紙販賣員,送報員,攤販)",03 為私人雇主或私人機構工作,01 少於3人,1 台灣,813高雄市左營區,1 有,20000,2 無,0 跳答或不適用,2 無,跳答或不適用,20000.0,70,3 已滿1年,2,6,2 否,60,2 否,2 無,2 無,2 無,2 無,2 無,2 無,2 沒有,2 沒有,2 沒有,2 沒有,2 沒有,2 沒有,1,2 沒有,0 跳答或不適用,0跳答,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,1 有,0 不適用,071運輸業,"9859私家車司機,計程車司機","01 自己一人工作,沒有雇用其他人",15000.0,70,2 沒有,0 跳答或不適用,2 無,2 無,2 無,2 無,1,0,0,1,2,0,0,0,0,0,0,14,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,0 跳答或不適用,35000,1 教育費用,45000.0,0 跳答或不適用,3,2 沒有,0 不適用,2 沒有,0 不適用,2 沒有,2 二至三小時,3 看電視,3,4,4,3 經常,3 經常,3 經常,1 從未,1 從未,2 無,2 無,1 有,2 無,2 無,1 有,2 無,2 無,2 無,2 無,2 無,1 有,2 無,2 無,2 無,2 無,1 從未,4 非常有影響,4 沒有多少休閒時間,2 有,4 全部為家用(包括家庭所有消費､儲蓄､投資等用途),2 有,4 全部為家用(包括家庭所有消費､儲蓄､投資等用途),1 主要由妻子來管 ,1 主要由妻子來管,1,30,10,40
